Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.078195,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.167534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.348356,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.433927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.520169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.605729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.692032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.782001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.867061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.953814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.039956,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.125987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.21203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.306003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.400991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.486202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.572632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.662442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.747982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.834209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.920542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.005944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.093006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.179021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.265106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.35111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.445768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.542994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.62912,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.715257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.801542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.887572,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.973367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.059716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.149213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.235236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.321316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.407291,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.493151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.587497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.685741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.77182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.857157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.943837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.030127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.115904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.201616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.287995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.373824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.460343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.545926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
