Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.078544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.349317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.435309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.521173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.606919,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.865133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.954384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.040209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.126579,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.212701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.30683,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401972,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.48767,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.573322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.659582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.746068,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.835242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.92093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.093064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.179085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.265205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.351343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.446197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.543353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.629959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.716135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.802162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.888102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.973833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.060118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.145937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.232136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.31891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.404293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
