Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.078873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.164216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.348637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.434459,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.520457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.606443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.692693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.77921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.864606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.950618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.039821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.126178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.212485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.306957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.401274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.487568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.577544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.663158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.748319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.835222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.921314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.093167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.179436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.265379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.352439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.445658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.543745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.629378,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.716284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.801845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.888139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.973914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.06043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.145735,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.232428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.318441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.404078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
