Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.168218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.262522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.348846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.435058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.521112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.869092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.955039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.041067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.127118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.213976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.308099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.405061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.491658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.57768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.663009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.749986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.835381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.921369,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.094198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.18036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.265844,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.352798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.449985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.544308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.630006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.715943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.802179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.888444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.974325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.06034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.146868,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.235986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.322341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.407623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
