Time,UV 2,UV 1,Blue,Green,Lime,Orange,Red,Farred 1,Farred 2,5000 K
0.079299,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.165339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.26349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.349529,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.435627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.522094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.607859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.693215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.779691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.866232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.952279,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.038203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.126942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.213807,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.308287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.402864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.488178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.57391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.660923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.749614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.83544,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.922229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.007619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.093796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.180701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.266376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.352983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.446713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.540793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.63093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.716625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.802652,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.888719,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.974619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.060775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.146973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.232998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.318625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.404632,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
